,entropy
140,8.025729447192319
141,8.025729447192319
142,8.025729447192319
143,8.025729447192319
144,8.025729447192319
145,8.025729447192319
146,8.025729447192319
147,8.025729447192319
148,8.025729447192319
149,8.025729447192319
150,8.025729447192319
151,8.025729447192319
152,8.025729447192319
153,8.025729447192319
154,8.025729447192319
155,8.025729447192319
156,8.025729447192319
157,8.025729447192319
158,8.025729447192319
159,8.025729447192319
160,8.025729447192319
161,8.025729447192319
162,8.025729447192319
163,8.025729447192319
164,8.025729447192319
165,8.025729447192319
166,8.025729447192319
167,8.025729447192319
168,8.025729447192319
169,8.025729447192319
170,8.025729447192319
171,8.025729447192319
172,8.025729447192319
173,8.025729447192319
174,8.025729447192319
175,8.025729447192319
176,8.025729447192319
177,8.025729447192319
178,8.025729447192319
179,8.025729447192319
180,8.025729447192319
181,8.025729447192319
182,8.025729447192319
183,8.025729447192319
184,8.025729447192319
185,8.025729447192319
186,8.025729447192319
187,8.025729447192319
188,8.025729447192319
189,8.025729447192319
190,8.025729447192319
191,8.025729447192319
192,8.025729447192319
193,8.025729447192319
194,8.025729447192319
195,8.025729447192319
196,8.025729447192319
197,8.025729447192319
198,8.025729447192319
199,8.025729447192319
200,8.025729447192319
201,8.025729447192319
202,8.025729447192319
203,8.025729447192319
204,8.025729447192319
205,8.025729447192319
206,8.025729447192319
207,8.025729447192319
208,8.025729447192319
209,8.025729447192319
210,8.025729447192319
211,8.025729447192319
212,8.025729447192319
213,8.025729447192319
214,8.025729447192319
215,8.025729447192319
216,8.025729447192319
217,8.025729447192319
218,8.025729447192319
219,8.025729447192319
220,8.025729447192319
221,8.025729447192319
222,8.025729447192319
223,8.025729447192319
224,8.025729447192319
225,8.025729447192319
226,8.025729447192319
227,8.025729447192319
228,8.025729447192319
229,8.025729447192319
230,8.025729447192319
231,8.025729447192319
232,8.025729447192319
233,8.025729447192319
234,8.025729447192319
235,8.025729447192319
236,8.025729447192319
237,8.025729447192319
238,8.025729447192319
239,8.025729447192319
240,8.025729447192319
241,8.025729447192319
242,8.025729447192319
243,8.025729447192319
244,8.025729447192319
245,8.025729447192319
246,8.025729447192319
247,8.025729447192319
248,8.025729447192319
249,8.025729447192319
250,8.025729447192319
251,8.025729447192319
252,8.025729447192319
253,8.025729447192319
254,8.025729447192319
255,8.025729447192319
256,8.025729447192319
257,8.025729447192319
258,8.025729447192319
259,8.025729447192319
260,8.025729447192319
261,8.025729447192319
262,8.025729447192319
263,8.025729447192319
264,8.025729447192319
265,8.025729447192319
266,8.025729447192319
267,8.025729447192319
268,8.025729447192319
269,8.025729447192319
270,8.025729447192319
271,8.025729447192319
272,8.025729447192319
273,8.025729447192319
274,8.025729447192319
275,8.025729447192319
276,8.025729447192319
277,8.025729447192319
278,8.025729447192319
279,8.025729447192319
280,8.025729447192319
281,8.025729447192319
282,8.025729447192319
283,8.025729447192319
284,8.025729447192319
285,8.025729447192319
286,8.025729447192319
287,8.025729447192319
288,8.025729447192319
289,8.025729447192319
290,8.025729447192319
291,8.025729447192319
292,8.025729447192319
293,8.025729447192319
294,8.025729447192319
295,8.025729447192319
296,8.025729447192319
297,8.025729447192319
298,8.025729447192319
299,8.025729447192319
300,8.025729447192319
301,8.025729447192319
302,8.025729447192319
303,8.025729447192319
304,8.025729447192319
305,8.025729447192319
306,8.025729447192319
307,8.025729447192319
308,8.025729447192319
309,8.025729447192319
310,8.025729447192319
311,8.025729447192319
312,8.025729447192319
313,8.025729447192319
314,8.025729447192319
315,8.025729447192319
316,8.025729447192319
317,8.025729447192319
318,8.025729447192319
319,8.025729447192319
320,8.025729447192319
321,8.025729447192319
322,8.025729447192319
323,8.025729447192319
324,8.025729447192319
325,8.025729447192319
326,8.025729447192319
327,8.025729447192319
328,8.025729447192319
329,8.025729447192319
330,8.025729447192319
331,8.025729447192319
332,8.025729447192319
333,8.025729447192319
334,8.025729447192319
335,8.025729447192319
336,8.025729447192319
337,8.025729447192319
338,8.025729447192319
339,8.025729447192319
340,8.025729447192319
341,8.025729447192319
342,8.025729447192319
343,8.025729447192319
344,8.025729447192319
345,8.025729447192319
346,8.025729447192319
347,8.025729447192319
348,8.025729447192319
349,8.025729447192319
350,8.025729447192319
351,8.025729447192319
352,8.025729447192319
353,8.025729447192319
354,8.025729447192319
355,8.025729447192319
356,8.025729447192319
357,8.025729447192319
358,8.025729447192319
359,8.025729447192319
360,8.025729447192319
361,8.025729447192319
362,8.025729447192319
363,8.025729447192319
364,8.025729447192319
365,8.025729447192319
366,8.025729447192319
367,8.025729447192319
368,8.025729447192319
369,8.025729447192319
370,8.025729447192319
371,8.025729447192319
372,8.025729447192319
373,8.025729447192319
374,8.025729447192319
375,8.025729447192319
376,8.025729447192319
377,8.025729447192319
378,8.025729447192319
379,8.025729447192319
380,8.025729447192319
381,8.025729447192319
382,8.025729447192319
383,8.025729447192319
384,8.025729447192319
385,8.025729447192319
386,8.025729447192319
387,8.025729447192319
388,8.025729447192319
389,8.025729447192319
390,8.025729447192319
391,8.025729447192319
392,8.025729447192319
393,8.025729447192319
394,8.025729447192319
395,8.025729447192319
396,8.025729447192319
397,8.025729447192319
398,8.025729447192319
399,8.025729447192319
400,8.025729447192319
401,8.025729447192319
402,8.025729447192319
403,8.025729447192319
404,8.025729447192319
405,8.025729447192319
406,8.025729447192319
407,8.025729447192319
408,8.025729447192319
409,8.025729447192319
410,8.025729447192319
411,8.025729447192319
412,8.025729447192319
413,8.025729447192319
414,8.025729447192319
415,8.025729447192319
416,8.025729447192319
